"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PrivateRouteStudent\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 1, 1, 10
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PrivateRouteTeacherApproved\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 1, 4, 19
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\PrivateRouteTeacherPending\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 1, 4, 20
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\SidebarAdmin\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 3, 12, 90
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\SidebarItem\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\SidebarTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 3, 7, 72
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Sidebar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\StatusBadge\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\SucessCourseCreate\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Swipper\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 2, 8, 80
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Textarea\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\TopBar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 2, 4, 50
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\Typograph\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 5, 7, 40
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\contexts\AuthContext.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\contexts\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\hooks\useAuth.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\hooks\useLogin.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\hooks\useLogout.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\hooks\useRegister.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\index.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 6, 21
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\layouts\AdminLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 3, 4, 42
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\layouts\FormLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 1, 7, 42
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\layouts\GuestLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\layouts\StudentLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\layouts\TeacherLayout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 2, 3, 21
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 2, 12
